param I := 200;
param J := 50;	
16	3457.89 7082.91 14341.1 11407.9 13787 4802.3 15609.1 17690.6 20177.5 15095.8 6390.73 5909.83 721.082 1519.63 1073.99 1813.72 558.956 8079.98 12220.1 62215.3 8865.11 3439.59 4434.19 7700.3 27904.9 2178.25 6221.56 6850.73 1235.76 6269.57 20238.6 10352.1 41613.5 16823.9 41931.1 14917.8 15716 10962.2 635.032 739.158 7390.5 45577.9 3007.46 8435.75 3707.16 5821.46 4650.7 2849.31 39939.8 520.338 
17	555.255 987.879 1779.86 2543.17 1661.84 1263.2 2699.94 2856.91 994.074 846.243 1301.39 588.484 64.694 549.212 632.266 442.921 694.565 1009.14 2141.17 1634.61 1261.21 640.975 757.908 1021.62 4589.35 556.468 697.774 493.159 779.253 801.146 797.905 1618.44 2154.01 2876.43 3430.5 1597.73 2415.27 1281.09 641.952 231.68 1037.38 8338.37 534.373 844.101 778.34 781.141 1266.42 1155.52 2923.3 367.711 
18	558.761 1203.4 1786.87 1199.54 1250.96 793.96 1378.52 1430.78 1831.67 1417.77 904.217 906.716 611.424 636.534 947.076 635.942 471.357 809.117 1824.35 5244.78 1185.24 538.97 945.442 901.665 1739.45 561.43 847.228 730.723 1109.33 937.35 1847.76 1381.08 4033.81 1025.48 2842.11 1537.48 1658.13 1390.48 532.051 611.009 1325.36 3522.19 555.255 1004.74 549.731 618.667 714.303 579.917 2941.77 392.654 
19	1967.42 5657.25 6529.06 16632.4 5744.76 3065.08 17477 11866.5 5057.28 4740.86 6843.26 4397.48 119.371 749.775 576.772 445.188 654.786 5069.26 5804.34 9168.65 6847.14 3038.34 3387.82 5363.08 14869.1 715.661 2417.75 2272.79 725.756 4354.87 5585.35 11283.1 12757.8 7824.14 16566.7 7445.82 12006.1 6020.15 595.88 660.896 5950.64 34279 847.469 3311.29 3022.4 1514.1 2422.34 2248.1 12622.3 329.201 
20	3025.99 5961.99 12134 8001.26 11814.7 5052.99 9183.2 14344.8 13909.9 10811.8 3696.47 3167.64 232.633 1378.73 710.99 1384.04 537.778 7165.54 10967.7 0 8449.25 4280.21 3690.04 8256.02 21372.8 2192.01 4712.04 4695.59 810.12 4632.3 6544.88 5018.64 32157.7 16752.6 29367.3 13297.9 13848.2 10957.7 505.373 688.477 6329.91 41009.1 2841.64 6271.29 4766.83 5623.53 5163.58 4384.52 30989 220.388 
21	393.734 834.094 986.326 401.832 533.875 642.933 329.594 532.051 386.28 319.861 429.383 419.78 284.072 466.931 682.32 403.115 505.946 297.822 1106.5 77.9293 697.426 429.581 709.821 427.126 466.411 435.355 477.485 266.937 844.26 556.468 91.5354 347.981 435.355 553.23 187.778 493.163 750.512 668.569 485.25 288.705 962.384 604.405 405.44 442.921 497.434 464.255 579.917 635.032 295.28 204.758 
22	380.867 867.29 999.709 433.645 549.212 653.169 367.711 556.468 403.115 319.861 473.538 475.448 337.521 477.485 717.911 427.126 478.96 274.606 1124.37 115.28 704.535 393.241 723.726 403.115 497.434 435.355 494.574 260.64 880.852 585.56 91.5354 388.577 442.921 562.145 129.388 493.163 778.755 666.08 471.357 336.529 1001.3 623.328 409.517 457.677 466.411 471.357 585.618 608.311 289.6 204.758 
23	377.609 1037.94 1801.83 1476.34 2007.51 1211.51 1937.54 2633.85 2258.21 1492.81 731.855 679.038 392.159 495.811 756.225 514.558 457.677 759.676 2256.04 3777.01 1203.62 389.289 741.862 894.625 4564.86 609.68 769.6 601.677 919.603 817.569 812.947 809.167 4539.01 3143.65 2486.45 1845.21 2321.4 1437.42 464.255 387.037 1129.99 7311.36 742.912 960.554 554.055 1275.24 1316.37 946.482 4617.3 220.388 
24	1426.41 3664.52 7090.25 6367.46 7539.79 3123.44 8629.82 9955.54 9668.3 6570.58 3115.17 2951.48 559.699 1086.71 883.847 1271.48 435.355 3128.47 6848.32 26222.6 4610.61 1321.07 1975.07 3333.41 16900.5 1471.04 3037.64 2792.03 1046.35 3126.94 6917.1 4334.43 19236.6 10515 14779.7 7239.93 8794.62 5513.38 485.25 1319.3 3865.66 26452 1973.32 4045.37 1746.23 3671.47 3422.91 1962.92 18723 329.201 
25	554.665 681.489 1091.35 393.734 532.051 650.468 311.701 477.485 417.047 451.08 260.64 168.649 155.851 505.946 528.402 388.164 704.712 516.05 1164.49 260.992 714.801 670.939 688.16 624.405 386.28 532.904 478.96 440.506 668.297 466.931 350.657 247.287 497.434 582.335 440.944 578.194 637.772 739.116 633.51 168.649 763.926 568.847 492.178 466.411 712.761 521.309 621.147 820.816 456.403 387.037 
26	366.142 960.252 1062.04 573.254 601.651 685.736 520.338 633.708 470.395 352.941 606.446 650.364 510.89 521.309 820.816 511.019 406.463 247.287 1191.29 289.651 725.756 295.28 764.22 348.713 595.289 452.858 555.255 289.097 983.566 674.347 209.89 516.05 481.31 595.548 144.352 505.373 859.162 660.169 442.921 483.32 1109.33 682.201 441.469 514.668 380.867 505.946 608.311 528.402 312.785 266.255 
27	4187.81 12373.8 11751.8 41327.1 8930.16 4007.92 43464.5 20185.2 9630.72 9659.21 12742 12041.8 176.134 575.212 521.805 330.085 617.882 10122.7 8915.04 21480 14217.1 7339.39 8160.45 11150.7 20147.3 700.402 4341.98 4727.73 672.992 8873.84 13105.4 22371.5 26504.6 9154.14 32748 13867.7 23274 11997.4 552.043 336.863 13308.5 58376.1 812.616 5950.99 6205.97 1747.35 1684.97 2572.1 22440.6 297.061 
28	362.466 983.566 1075.56 635.942 614.409 689.705 584.399 654.786 491.783 367.711 648.049 713.172 574.488 532.904 849 536.995 377.581 248.717 1203.3 350.657 724.933 260.64 769.938 330.085 624.405 457.182 571.994 307.007 1010.47 698.962 260.992 556.963 492.178 601.536 182.362 505.946 878.559 650.397 430.286 1303.06 1137.62 695.831 451.475 531.138 347.52 514.668 610.11 493.163 326.854 297.061 
29	670.939 608.842 1228.03 521.309 573.649 682.438 451.475 497.434 496.653 568.144 266.452 220.388 307.007 573.254 471.357 451.08 825.985 657.419 1267.42 440.944 746.151 811.897 699.617 749.86 410.802 624.405 531.138 574.488 579.917 466.411 518.76 312.203 577.41 633.844 605.912 658.402 596.856 797.067 737.39 273.544 653.213 585.668 584.399 532.509 840.822 595.289 674.545 930.53 583.9 531.536 
30	429.383 1084.64 1332.02 4848.99 1290.01 929.924 5620.96 2469.13 891.933 831.843 1164.86 1305.15 210.755 403.115 505.373 295.28 577.41 1002.81 1660.77 2013.28 1330.93 641.947 728.481 1049.43 3347.35 417.047 475.318 399.619 660.284 786.682 957.977 1487.8 2229.03 2054.8 3485.98 1508.61 2495.46 1223.56 511.217 156.022 1165.3 7451.13 377.067 642.395 619.462 542.516 917.333 919.888 2538.8 258.025 
31	694.527 1929.36 3490.72 3724.6 3818.63 1904.55 4695.32 4926.94 4013 2584.62 1298.43 1388.72 352.356 619.98 633.708 632.77 417.047 1508.46 3735.51 6544.88 2545.56 919.193 979.696 1977.07 8037.96 843.952 1395.59 982.563 797.067 1471.16 0 1529.64 8700.66 5837.07 4676.64 3685.86 4743.16 3118.79 393.734 418.659 2081.07 14069.9 1048.18 1806.36 1213.1 1973.08 2107.4 1611.11 7571.04 115.84 
32	766.194 596.856 1376.92 614.409 635.942 735.563 551.845 551.845 580.556 665.659 336.529 307.205 416.27 648.548 478.96 529.684 921.419 763.182 1397.92 559.699 797.067 916.13 740.341 848.008 473.538 709.568 600.676 678.491 556.991 511.217 634.701 401.668 658.572 699.118 720.5 737.39 608.311 861.48 825.985 379.111 608.842 633.844 670.939 608.763 939.184 673.058 739.554 1019.43 685.256 639.965 
33	1296.49 4275.63 4655.18 20149.4 4417.25 2664.63 23448 8704.2 3083.14 2891.29 4478.06 5970.32 247.287 644.226 491.794 343.257 536.995 3515.56 4497.51 7702.15 4976.95 2050.62 2235.58 3797.27 11255.6 615.939 1663.76 1388.38 649.9 2962.38 3466.47 5477.37 8041.63 6748.83 12144.6 5312.16 9356.68 4482.79 470.395 375.433 4666.65 26379.6 719.118 2224.44 2254.58 1249.21 2317.31 2157.85 8466.7 219.652 
34	1064.57 2303.38 3333.92 3282.49 2475.73 747.844 3524.6 2748 3178.82 2438.75 1249.36 1582.74 326.854 348.713 573.649 284.996 429.581 1893.3 2732.51 5916.88 2665.88 1895.39 1808.3 2619.26 2522.29 323.733 1371.93 1041.49 736.753 1530.57 1445.33 1919.07 8580.73 1896.57 5457.86 3579.01 3648.26 3584.8 388.164 209.89 2592.85 7300.9 291.031 1709.79 1641.1 534.486 463.36 664.086 4689.9 104.262 
35	1838.42 5681.95 9089.45 10765.1 9240.31 3623.8 13469.9 11946.4 11071.2 6681.16 4099.81 4609.92 440.506 925.966 676.62 1047.24 349.636 3009.79 8267.48 29367.3 6797.47 2433.51 3334.64 4712.38 18113.6 1308.46 3878.95 2384.59 839.506 4286.02 4676.64 5895.58 24151.6 11715 0 9493.23 12259 8422.97 348.713 791.783 6207.74 32705.6 1716.69 5011.03 2841.22 3660.35 3348.95 2564.59 15963.3 122.57 
36	410.408 1064.74 1190.58 785.308 681.341 735.28 737.39 737.39 580.556 451.543 769.203 867.297 729.45 600.676 941.93 632.59 362.466 322.531 1309.57 890.852 758.626 248.717 817.135 347.981 723.361 514.078 648.548 401.668 1098.76 787.501 431.418 678.491 663.581 654.636 465.068 551.845 953.03 665.683 451.475 665.386 1227.57 762.071 520.338 608.763 323.47 577.41 653.708 449.436 459.247 412.728 
37	891.585 2353.9 2891.59 12971.3 2591.02 1555.7 15288.1 4865.17 1961.23 2061.24 1873.17 3301.81 260.64 465.112 430.286 258.776 594.121 2553.52 2886.07 7077.8 2990.06 1430.76 1363.58 2596.5 5931.87 474.143 992.442 1043.45 582.246 1616.49 3049.86 2568.15 5168.32 4008.13 9524.46 3376.35 5165.92 2765.63 514.078 117.913 2564.73 15092.3 533.548 1366.39 1515.81 826.986 1470.96 1499.98 6130.36 293.963 
38	1018.32 1569.36 3681.32 13796.4 3584.41 2526.94 18185.8 5789.88 2388.41 2419.5 1606.08 2514.36 337.297 825.14 377.581 457.358 739.158 3259.93 3850.22 10110.1 2735.36 1110.81 755.575 2881.64 8882.82 857.028 1262.82 1236.25 499.854 1336.05 3261.64 2800.68 5201.63 6770.62 13657.4 4123.84 4571.92 2872.72 645.062 915.799 1602.28 17882 1035.13 1735.69 1795.59 1596.24 2698.67 2732.1 9220.4 462.029 
39	1512.4 3201.65 4444.13 20509.4 3711.09 2123.14 24482.5 6828.56 3262.38 3631.08 2117.35 4862.38 302.231 581.596 380.867 312.595 658.957 4390.68 4015.14 14057 4471.5 2475.29 2043.82 4304.22 7969.79 607.472 1504.93 1887.61 521.805 2275.77 6034.97 4756.7 8516.18 5552.27 16913.4 5276.34 6962.64 4190.62 569.13 403.768 3455.75 21151.1 706.411 2134.93 2455.13 1110.81 1871.08 1943.52 10487.1 375.778 
40	400.875 569.992 754.134 1098.71 366.142 485.309 1845.47 428.774 257.795 303.15 219.93 337.297 291.031 337.297 414.293 220.388 554.954 384.601 828.586 688.477 549.212 538.59 528.402 884.515 326.9 367.711 311.701 301.011 570.472 319.861 418.659 243.134 574.647 414.376 791.783 410.802 616.371 570.472 473.538 0 682.32 1021.61 326.854 297.822 568.144 352.941 452.858 1267.56 310.609 264.907 
41	614.861 1833.39 1462.18 8509.32 1100.48 553.417 9563.88 2424.39 967.833 1033.29 1509.15 2869.75 302.231 311.701 441.469 204.758 504.794 1251.23 1446.78 3907.62 1854.15 1129.76 1231.84 1425.35 2362.72 329.594 545.974 583.442 601.651 1104.63 1724.27 1788.19 2915.53 1240.84 4431.04 1669.28 3149.09 1578.71 429.383 59.0234 2095.94 7406.17 289.097 669.078 952.37 323.47 450.725 617.882 2549.93 203.808 
42	3273.58 11635.4 9942.94 57821.9 8414.27 4972.85 66537.6 17565.9 6260.69 6244.76 11169.3 19612.3 623.402 1019.58 977.683 547.952 960.686 7894 8722.98 24077.1 12174.1 5894.87 6609.05 9009.66 19362.8 1074.42 3590.73 3197.7 1247.23 7286.08 9611.01 12992.8 18100.2 10943.4 27612.6 11243.3 21964.7 10568.4 817.135 656.318 13136.3 53394.2 1168.7 4595.33 5621.25 2191.73 3313.07 4023.26 16261.5 350.657 
43	391.891 1178.32 936.869 4238.84 603.419 466.931 4554.56 1219.47 544.661 568.764 930.794 1680.47 311.775 302.174 457.295 202.72 480.175 684.363 994.171 1836.63 1136.26 692.689 798.601 833.461 999.323 312.675 363.472 337.323 618.788 704.798 870.706 1157.11 1519.02 528.045 1946.92 906.108 1752.56 975.908 408.426 86.66 1358.45 3352.51 272.732 420.359 611.394 311.627 421.456 595.134 1121.62 175.131 
44	695.974 1532.66 2497.76 3493.41 2347.54 1007.58 4186.27 2787.8 2328.14 1923.13 778.074 1195.83 337.297 326.973 492.178 269.029 433.057 1725.07 2520.17 8503.74 2012.08 1273.49 1053.11 2081.19 3682.9 452.574 927.078 882.884 655.181 1002.76 2552.73 915.107 6330.55 3177.29 8976.15 2852.84 3238.37 2682.86 370.17 155.844 1715.57 8416.51 511.019 1186.56 1275.27 960.104 1071.5 1039.68 5475.84 118.862 
45	490.805 1233.01 1983.94 2899.66 2000.18 988.373 3557.29 2464.23 1901.8 1392.87 680.921 987.64 352.941 325.366 511.217 281.215 410.408 1204.13 2166.27 6747.71 1597.72 861.401 800.528 1499.18 3532.04 436.075 751.193 599.712 674.545 827.662 1650.71 783.17 4884.4 2887.79 6486.45 2214.04 2743.97 2066.79 352.941 186.927 1374.2 7376.53 493.361 952.283 938.898 913.836 1063.51 1000.4 4095.4 91.1812 
46	410.442 1269.78 1964.43 2998.52 2112.45 1079.32 3761.27 2721.48 2033.52 1199.58 796.213 1063.09 388.775 349.907 551.845 336.514 367.711 899.626 2214.36 7041.08 1582.02 688.443 754.729 1258.82 4201.38 444.477 782.37 425.179 715.186 886.306 1182.59 942.919 4772.43 3083.82 4628.51 2113.48 2909.28 1974.06 323.47 262.493 1409.11 7925.27 514.561 983.227 810.92 989.649 1148.26 994.199 3300.04 40.8567 
47	210.755 820.816 754.134 641.952 451.475 530.921 573.649 491.783 329.201 204.284 503.448 645.062 520.338 370.17 688.458 376.294 274.606 91.5354 882.939 288.705 569.992 185.085 610.11 204.758 465.265 297.822 408.567 144.352 849 536.995 168.265 412.728 329.594 441.365 81.7135 349.636 715.186 505.637 291.031 403.48 976.703 532.774 289.097 367.711 258.776 352.941 452.858 403.115 163.427 146.981 
48	807.363 1676.5 2753.32 4340.91 2588.94 1190.08 5273.78 3024.12 2394.89 2256.47 778.119 1398.5 349.636 351.824 451.475 267.459 440.506 2170.93 2757.9 12016.6 2244.45 1500.08 1059.31 2474.04 3930.33 525.895 977.4 1121.98 614.409 1050.15 3767.47 800.264 6851.34 3714.3 12637.1 3202.68 3601.91 3015.17 367.711 150.063 1893.34 9431.23 596.074 1250.56 1521.7 1134.81 1266.03 1284.33 6929.32 144.1 
49	476.789 1390.57 1734.54 2865.53 1614.27 564.01 3401.41 1993.76 1704.62 976.755 780.356 1181.1 410.802 266.937 532.509 225.737 347.784 877.549 1785.12 7855.16 1502.91 974.226 1020.31 1299.99 2514.39 233.466 709.212 339.806 695.568 864.636 1777.74 1125.62 4446.12 1766.28 4488.57 1922.98 2475.54 1976.52 297.822 232.372 1613.31 5697.04 244.683 881.084 856.401 470.7 549.57 528.96 2172.19 28.82 
50	194.082 694.565 590.561 596.592 349.636 449.385 517.552 370.17 208.523 115.84 356.586 536.995 429.581 274.606 554.665 245.14 326.854 129.012 716.228 220.388 499.854 284.072 521.805 245.14 329.201 231.68 297.822 64.694 717.319 408.567 115.84 265.768 238.743 358.066 122.57 289.6 595.88 464.255 284.996 264.907 843.277 427.031 204.758 258.776 329.201 266.937 380.867 451.475 91.5354 0 
51	183.071 715.186 604.462 608.311 362.466 457.614 531.018 388.775 225.737 119.371 384.601 560.457 449.424 284.996 577.41 266.255 307.205 104.068 732.283 233.206 505.637 258.025 532.051 225.737 352.356 233.466 312.785 57.92 739.554 429.383 119.371 293.963 247.287 366.079 104.262 291.031 614.409 463.36 274.606 289.651 866.114 441.365 210.755 272.838 307.007 274.606 386.28 433.645 86.88 28.82 
52	173.76 758.034 646.94 635.032 393.241 478.875 561.43 429.383 266.255 144.548 440.944 608.763 491.783 312.785 624.405 312.203 272.838 64.694 776.328 266.452 521.805 208.135 556.468 194.082 400.875 247.287 347.981 81.7135 785.308 473.538 144.548 350.657 272.838 388.075 86.88 302.231 653.708 466.931 262.229 460.015 912.805 474.005 233.206 307.205 266.452 297.822 403.115 401.832 104.262 86.46 
53	510.89 471.357 866.114 604.462 388.775 497.55 521.805 312.785 322.531 412.728 81.7135 348.713 366.142 392.654 319.861 272.259 665.659 519.568 898.848 392.654 561.43 668.529 517.552 594.31 225.737 451.543 347.784 433.269 457.677 284.996 428.676 146.981 400.875 449.565 503.448 480.343 435.355 612.851 568.144 155.305 556.468 401.933 412.992 352.356 685.256 416.27 490.281 761.513 436.163 404.518 
54	428.676 494.574 735.421 585.618 337.297 452.947 499.854 274.606 248.327 328.709 64.694 366.142 348.713 326.854 338.777 204.284 583.9 433.269 786.482 326.854 517.552 582.911 485.25 510.89 183.071 376.294 289.097 347.05 491.794 262.229 348.524 64.5062 329.201 393.358 419.78 410.408 438.207 555.255 490.468 81.7135 601.651 366.205 336.529 285.997 602.021 347.784 433.645 683.938 350.657 318.34 
55	344.961 1083.89 2805.21 1476.35 3485.95 1402.9 1938.82 2708.34 708.146 322.628 479.15 648.548 532.509 537.147 633.502 322.531 233.206 217.417 3175.66 3306.14 2030.84 438.161 886.45 939.779 4846.26 233.206 1262.8 112.244 792.519 821.867 614.483 566.297 1310.28 5152.29 1252.86 2713.45 2639.11 2469.73 231.68 379.111 1198.43 7375.57 248.537 1587.53 689.966 437.259 1839.51 1185.81 792.891 118.862 
56	440.405 1007.19 1384.11 9474.2 1318.39 1089.21 12203.3 2135.74 717.737 883.812 595.185 2409.94 377.581 321.608 337.297 144.548 519.84 1349.15 1622.06 5018.64 1315.69 574.443 461.08 1269.03 2503.23 354.662 440.525 477.836 497.434 576.66 1529.64 0 1944.06 2519.37 5895.58 1620.15 2471.32 1327.15 425.988 243.134 1150.17 7434.69 385.519 572.018 843.162 584.578 1093.49 1281.63 3313.9 265.768 
57	337.521 505.946 578.194 1524.35 274.606 393.793 1625.35 316.127 171.843 246.163 184.236 645.387 380.867 248.717 352.941 129.388 492.772 345.84 646.94 855.643 457.677 493.352 438.207 419.78 212.085 288.705 220.388 259.38 514.668 238.743 450.235 82.5117 435.982 323.559 804.218 336.496 533.125 481.31 400.875 91.5354 633.708 815.852 248.327 208.523 510.89 266.452 362.466 594.121 429.201 237.724 
